experiment,display_name_zh,direction_zh,group,hypothesis,seed,successes,episodes,success_rate,delta_success_rate_pp,avg_env_steps,avg_success_env_steps,avg_agent_turns,avg_llm_calls,invalid_action_rate,parse_failure_rate,repeated_action_rate,avg_prompt_tokens,avg_completion_tokens,avg_total_tokens,errors
baseline,公共基线：ReAct + 任务匹配 2-shot,公共基线,baseline,任务类型匹配的 2-shot ReAct 配合完整历史，作为所有消融实验的公共对照。,0,91,134,0.6791044776119403,0.0,16.895522388059703,13.296703296703297,24.746268656716417,24.746268656716417,0.3047703180212014,0.0669481302774427,0.20980565371024734,51071.97014925373,368.06716417910445,51440.03731343283,0
act_only,方向1 推理策略：Act-only,方向1：推理策略,reasoning,Act-only 会减少 token 消耗，但在需要多步规划的任务上成功率会下降。,0,70,134,0.5223880597014925,-15.671641791044777,9.014925373134329,9.971428571428572,12.843283582089553,12.843283582089553,0.12665562913907286,0.2980825101685067,0.05380794701986755,17917.328358208953,78.27611940298507,17995.60447761194,0
cot_then_act,方向1 推理策略：CoT-then-Act,方向1：推理策略,reasoning,一次性初始规划会优于 Act-only，但仍弱于能根据反馈调整的 ReAct。,0,67,134,0.5,-17.910447761194025,13.970149253731343,14.73134328358209,18.425373134328357,19.425373134328357,0.25,0.24179829890643986,0.14369658119658119,29816.544776119405,220.1417910447761,30036.68656716418,0
random_nonmatching_2shot,方向2 Few-shot：随机非匹配 2-shot,方向2：Few-shot 数量与匹配,fewshot,随机选择的非匹配 2-shot 示例会弱于任务类型匹配的示例。,0,51,134,0.3805970149253731,-29.850746268656714,18.17910447761194,12.745098039215685,31.78358208955224,31.78358208955224,0.31075533661740556,0.10612819910777178,0.20894909688013136,75009.0671641791,557.2089552238806,75566.27611940299,0
mixed_6shot,方向2 Few-shot：六类混合 6-shot,方向2：Few-shot 数量与匹配,fewshot,由于无关示例占用上下文，六类混合示例不会随数量增加而单调提升性能。,0,73,134,0.5447761194029851,-13.432835820895516,13.432835820895523,12.164383561643836,21.388059701492537,21.388059701492537,0.15722222222222224,0.15806001395673414,0.049444444444444444,105279.79850746269,276.4776119402985,105556.27611940299,0
zero_shot,方向2 Few-shot：0-shot,方向2：Few-shot 数量与匹配,fewshot,移除示例会降低成功率，并增加任务协议与输出格式错误。,0,8,134,0.05970149253731343,-61.940298507462686,11.962686567164178,14.0,26.865671641791046,26.865671641791046,0.5814098565190269,0.35083333333333333,0.28509045539613226,15897.171641791045,299.3134328358209,16196.485074626866,0
admissible_actions,方向3 动作空间：注入合法动作列表,方向3：Admissible actions,action_space,注入当前合法动作列表会以增加 prompt token 为代价，显著减少非法动作。,0,68,134,0.5074626865671642,-17.164179104477604,17.007462686567163,10.705882352941176,37.90298507462686,37.90298507462686,0.24879333040807372,0.0005906674542232723,0.3225098727512067,96808.17164179105,787.6940298507462,97595.86567164179,0
explicit_failure_feedback,方向4 失败反馈：显式无效动作恢复提示,方向4：失败反馈,failure_feedback,显式失败反馈会减少重复非法动作和循环终止。,0,89,134,0.664179104477612,-1.492537313432829,19.067164179104477,12.269662921348315,27.97761194029851,27.97761194029851,0.3898238747553816,0.04294478527607362,0.3107632093933464,66145.34328358209,416.93283582089555,66562.27611940299,0
guided_json,方向5 输出结构：Guided JSON,方向5：输出结构,output_structure,Guided JSON 会消除大部分语法错误，但未必减少语义上无效的动作。,0,53,134,0.39552238805970147,-28.35820895522388,8.619402985074627,10.377358490566039,31.850746268656717,31.850746268656717,0.09004329004329005,0.007966260543580132,0.011255411255411256,80497.1119402985,817.5895522388059,81314.70149253731,0
recent_10,方向6 轨迹压缩：最近 10 turns,方向6：轨迹压缩,history,仅保留最近 10 个 turn 会降低上下文成本，但会损害长程搜索和物体状态跟踪。,0,85,134,0.6343283582089553,-4.477611940298498,17.47761194029851,11.341176470588236,23.865671641791046,23.865671641791046,0.20922288642186165,0.09505941213258287,0.0982066609735269,42515.99253731343,303.0970149253731,42819.08955223881,0
summary_10,方向6 轨迹压缩：摘要 + 最近 10 turns,方向6：轨迹压缩,history,动态摘要会恢复部分窗口截断造成的损失，但会增加模型调用并带来记忆失真风险。,0,91,134,0.6791044776119403,0.0,16.223880597014926,11.428571428571429,22.104477611940297,33.798507462686565,0.19273229070837167,0.10060769750168805,0.09015639374425023,40238.90298507463,298.9925373134328,40537.89552238806,0
