experiment,seed,episodes,gamefile_set_sha256,errors,status,details
baseline,0,134,9d7b36e410ca9fe4dc1fc5e20cb7750f823e271af775b4f650799e9da3740793,0,pass,
baseline,1,134,9d7b36e410ca9fe4dc1fc5e20cb7750f823e271af775b4f650799e9da3740793,0,pass,
baseline,2,134,9d7b36e410ca9fe4dc1fc5e20cb7750f823e271af775b4f650799e9da3740793,0,pass,
act_only,0,134,9d7b36e410ca9fe4dc1fc5e20cb7750f823e271af775b4f650799e9da3740793,0,pass,
act_only,1,134,9d7b36e410ca9fe4dc1fc5e20cb7750f823e271af775b4f650799e9da3740793,0,pass,
act_only,2,134,9d7b36e410ca9fe4dc1fc5e20cb7750f823e271af775b4f650799e9da3740793,0,pass,
cot_then_act,0,134,9d7b36e410ca9fe4dc1fc5e20cb7750f823e271af775b4f650799e9da3740793,0,pass,
cot_then_act,1,134,9d7b36e410ca9fe4dc1fc5e20cb7750f823e271af775b4f650799e9da3740793,0,pass,
cot_then_act,2,134,9d7b36e410ca9fe4dc1fc5e20cb7750f823e271af775b4f650799e9da3740793,0,pass,
random_nonmatching_2shot,0,134,9d7b36e410ca9fe4dc1fc5e20cb7750f823e271af775b4f650799e9da3740793,0,pass,
random_nonmatching_2shot,1,134,9d7b36e410ca9fe4dc1fc5e20cb7750f823e271af775b4f650799e9da3740793,0,pass,
random_nonmatching_2shot,2,134,9d7b36e410ca9fe4dc1fc5e20cb7750f823e271af775b4f650799e9da3740793,0,pass,
mixed_6shot,0,134,9d7b36e410ca9fe4dc1fc5e20cb7750f823e271af775b4f650799e9da3740793,0,pass,
mixed_6shot,1,134,9d7b36e410ca9fe4dc1fc5e20cb7750f823e271af775b4f650799e9da3740793,0,pass,
mixed_6shot,2,134,9d7b36e410ca9fe4dc1fc5e20cb7750f823e271af775b4f650799e9da3740793,0,pass,
zero_shot,0,134,9d7b36e410ca9fe4dc1fc5e20cb7750f823e271af775b4f650799e9da3740793,0,pass,
zero_shot,1,134,9d7b36e410ca9fe4dc1fc5e20cb7750f823e271af775b4f650799e9da3740793,0,pass,
zero_shot,2,134,9d7b36e410ca9fe4dc1fc5e20cb7750f823e271af775b4f650799e9da3740793,0,pass,
admissible_actions,0,134,9d7b36e410ca9fe4dc1fc5e20cb7750f823e271af775b4f650799e9da3740793,0,pass,
explicit_failure_feedback,0,134,9d7b36e410ca9fe4dc1fc5e20cb7750f823e271af775b4f650799e9da3740793,0,pass,
guided_json,0,134,9d7b36e410ca9fe4dc1fc5e20cb7750f823e271af775b4f650799e9da3740793,0,pass,
recent_10,0,134,9d7b36e410ca9fe4dc1fc5e20cb7750f823e271af775b4f650799e9da3740793,0,pass,
summary_10,0,134,9d7b36e410ca9fe4dc1fc5e20cb7750f823e271af775b4f650799e9da3740793,0,pass,
summary_10,1,134,9d7b36e410ca9fe4dc1fc5e20cb7750f823e271af775b4f650799e9da3740793,0,pass,
summary_10,2,134,9d7b36e410ca9fe4dc1fc5e20cb7750f823e271af775b4f650799e9da3740793,0,pass,
