experiment,display_name_zh,direction_zh,seed,task_type,success_rate,avg_env_steps,avg_success_env_steps,avg_agent_turns,avg_llm_calls,invalid_action_rate,parse_failure_rate,repeated_action_rate,avg_prompt_tokens,avg_completion_tokens,avg_total_tokens,successes,episodes,errors
baseline,公共基线：ReAct + 任务匹配 2-shot,公共基线,0,pick_and_place_simple,0.9166666666666666,15.333333333333334,14.227272727272727,18.333333333333332,18.333333333333332,0.10326086956521739,0.03636363636363636,0.043478260869565216,29207.291666666668,188.375,29395.666666666668,22,24,0
baseline,公共基线：ReAct + 任务匹配 2-shot,公共基线,0,pick_clean_then_place_in_recep,0.6774193548387096,18.677419354838708,13.095238095238095,23.93548387096774,23.93548387096774,0.4283246977547496,0.05390835579514825,0.35060449050086356,51714.032258064515,301.4516129032258,52015.48387096774,21,31,0
baseline,公共基线：ReAct + 任务匹配 2-shot,公共基线,0,pick_heat_then_place_in_recep,0.8695652173913043,13.434782608695652,10.0,19.434782608695652,19.434782608695652,0.18446601941747573,0.040268456375838924,0.13592233009708737,39157.82608695652,253.1304347826087,39410.95652173913,20,23,0
baseline,公共基线：ReAct + 任务匹配 2-shot,公共基线,0,pick_cool_then_place_in_recep,0.8571428571428571,18.761904761904763,14.5,22.523809523809526,22.523809523809526,0.49746192893401014,0.0,0.4593908629441624,49086.57142857143,286.76190476190476,49373.333333333336,18,21,0
baseline,公共基线：ReAct + 任务匹配 2-shot,公共基线,0,look_at_obj_in_light,0.1111111111111111,18.666666666666668,10.0,41.666666666666664,41.666666666666664,0.36607142857142855,0.11066666666666666,0.050595238095238096,91640.22222222222,910.2222222222222,92550.44444444444,2,18,0
baseline,公共基线：ReAct + 任务匹配 2-shot,公共基线,0,pick_two_obj_and_place,0.47058823529411764,16.352941176470587,17.625,27.294117647058822,27.294117647058822,0.10071942446043165,0.1400862068965517,0.05755395683453238,56386.0,425.11764705882354,56811.117647058825,8,17,0
act_only,方向1 推理策略：Act-only,方向1：推理策略,0,pick_and_place_simple,0.9583333333333334,10.708333333333334,10.956521739130435,11.125,11.125,0.042801556420233464,0.03745318352059925,0.0,13573.583333333334,83.20833333333333,13656.791666666666,23,24,0
act_only,方向1 推理策略：Act-only,方向1：推理策略,0,pick_clean_then_place_in_recep,0.5161290322580645,7.193548387096774,9.125,11.064516129032258,11.064516129032258,0.02242152466367713,0.3498542274052478,0.0,16950.25806451613,66.41935483870968,17016.677419354837,16,31,0
act_only,方向1 推理策略：Act-only,方向1：推理策略,0,pick_heat_then_place_in_recep,0.21739130434782608,4.3478260869565215,8.0,10.608695652173912,10.608695652173912,0.27,0.5901639344262295,0.18,14011.695652173914,43.391304347826086,14055.08695652174,5,23,0
act_only,方向1 推理策略：Act-only,方向1：推理策略,0,pick_cool_then_place_in_recep,0.8095238095238095,9.380952380952381,7.705882352941177,10.952380952380953,10.952380952380953,0.19796954314720813,0.14347826086956522,0.18274111675126903,17866.47619047619,79.14285714285714,17945.619047619046,17,21,0
act_only,方向1 推理策略：Act-only,方向1：推理策略,0,look_at_obj_in_light,0.05555555555555555,5.444444444444445,5.0,13.5,13.5,0.336734693877551,0.5967078189300411,0.11224489795918367,16552.944444444445,61.0,16613.944444444445,1,18,0
act_only,方向1 推理策略：Act-only,方向1：推理策略,0,pick_two_obj_and_place,0.47058823529411764,19.58823529411765,15.5,23.176470588235293,23.176470588235293,0.11411411411411411,0.1548223350253807,0.0,32604.70588235294,157.35294117647058,32762.058823529413,8,17,0
cot_then_act,方向1 推理策略：CoT-then-Act,方向1：推理策略,0,pick_and_place_simple,0.7916666666666666,13.208333333333334,13.421052631578947,14.875,15.875,0.20189274447949526,0.11204481792717087,0.14195583596214512,20206.916666666668,173.25,20380.166666666668,19,24,0
cot_then_act,方向1 推理策略：CoT-then-Act,方向1：推理策略,0,pick_clean_then_place_in_recep,0.5806451612903226,17.483870967741936,13.11111111111111,20.483870967741936,21.483870967741936,0.23800738007380073,0.14645669291338584,0.14206642066420663,37164.77419354839,225.16129032258064,37389.93548387097,18,31,0
cot_then_act,方向1 推理策略：CoT-then-Act,方向1：推理策略,0,pick_heat_then_place_in_recep,0.34782608695652173,7.6521739130434785,11.125,12.91304347826087,13.91304347826087,0.1590909090909091,0.4074074074074074,0.022727272727272728,19614.043478260868,125.69565217391305,19739.739130434784,8,23,0
cot_then_act,方向1 推理策略：CoT-then-Act,方向1：推理策略,0,pick_cool_then_place_in_recep,0.6666666666666666,18.761904761904763,19.071428571428573,22.428571428571427,23.428571428571427,0.3401015228426396,0.16348195329087048,0.23857868020304568,41144.333333333336,207.85714285714286,41352.19047619047,14,21,0
