experiment,display_name_zh,direction_zh,group,task_type,seeds,runs,successes,success_rate_mean,success_rate_std,avg_env_steps_mean,avg_env_steps_std,avg_success_env_steps_mean,avg_success_env_steps_std,avg_agent_turns_mean,avg_agent_turns_std,avg_llm_calls_mean,avg_llm_calls_std,invalid_action_rate_mean,invalid_action_rate_std,parse_failure_rate_mean,parse_failure_rate_std,repeated_action_rate_mean,repeated_action_rate_std,avg_prompt_tokens_mean,avg_prompt_tokens_std,avg_completion_tokens_mean,avg_completion_tokens_std,avg_total_tokens_mean,avg_total_tokens_std
baseline,公共基线：ReAct + 任务匹配 2-shot,公共基线,baseline,pick_and_place_simple,"0,1,2",3,"22,23,23",0.9444444444444444,0.02405626121623445,15.38888888888889,0.04811252243246813,14.887351778656127,0.5716452270039579,18.02777777777778,0.2646188733785778,18.02777777777778,0.2646188733785778,0.10288875832354094,0.00032225778832558136,0.02455322455322455,0.01022811665697239,0.043321582452017234,0.00013568748982129656,28443.472222222223,661.5083751849373,184.30555555555554,3.5625203053352466,28627.777777777777,665.0368689306162
baseline,公共基线：ReAct + 任务匹配 2-shot,公共基线,baseline,pick_clean_then_place_in_recep,"0,1,2",3,"21,19,17",0.6129032258064516,0.06451612903225806,19.36559139784946,1.109195944559385,12.38984716693695,0.6949256459823784,24.827956989247312,0.8717638734928732,24.827956989247312,0.8717638734928732,0.48438966156544344,0.05057083950355158,0.06238956373152794,0.0179504012571851,0.4088015111520633,0.05043829299309621,53750.77419354839,2095.8940418225707,313.26881720430106,10.858389072513793,54064.04301075269,2106.468398227183
baseline,公共基线：ReAct + 任务匹配 2-shot,公共基线,baseline,pick_heat_then_place_in_recep,"0,1,2",3,"20,19,20",0.855072463768116,0.025102185616940234,14.289855072463768,1.369622727110929,10.152631578947368,0.1500692360987714,20.028985507246375,1.2222985979841021,20.028985507246375,1.2222985979841021,0.20533599780840106,0.04053617750153632,0.03232852431022789,0.012220969663064017,0.16506508298634912,0.05161271366654601,40573.985507246376,2971.290435365037,253.7246376811594,8.038227820249507,40827.710144927536,2978.810714820969
baseline,公共基线：ReAct + 任务匹配 2-shot,公共基线,baseline,pick_cool_then_place_in_recep,"0,1,2",3,"18,19,20",0.9047619047619048,0.047619047619047616,18.174603174603174,0.5091750772173158,15.410526315789474,1.4646054936663198,23.063492063492063,1.548412495016787,23.063492063492063,1.548412495016787,0.48447785337989463,0.0345343924495057,0.0,0.0,0.4460380890664939,0.04102518765414378,56651.31746031746,14497.957231220778,412.9365079365079,221.97248268373954,57064.253968253965,14719.70015417684
baseline,公共基线：ReAct + 任务匹配 2-shot,公共基线,baseline,look_at_obj_in_light,"0,1,2",3,"2,2,2",0.1111111111111111,0.0,18.814814814814817,1.118493990410481,9.333333333333334,1.1547005383792515,45.629629629629626,3.496176630092735,45.629629629629626,3.496176630092735,0.396792328042328,0.04130635181647403,0.12203516098744921,0.03921701761166245,0.08862433862433862,0.033290986265412645,106976.77777777778,13597.537322305156,1088.3518518518517,182.7462175837089,108065.12962962962,13769.351692056796
baseline,公共基线：ReAct + 任务匹配 2-shot,公共基线,baseline,pick_two_obj_and_place,"0,1,2",3,"8,8,8",0.47058823529411764,0.0,16.19607843137255,0.2716942443245288,17.458333333333332,0.28867513459481287,26.705882352941178,1.018853416216985,26.705882352941178,1.018853416216985,0.10545341504574118,0.011456767379149971,0.14869034376820806,0.014902802216985523,0.058122390976108,0.0009845568139657881,54397.0,3445.150942098305,394.5686274509804,52.40385275111289,54791.56862745098,3497.553976884791
act_only,方向1 推理策略：Act-only,方向1：推理策略,reasoning,pick_and_place_simple,"0,1,2",3,"23,23,21",0.9305555555555556,0.048112522432468836,11.180555555555555,0.6459453307907487,11.313319530710835,0.44325924641877507,11.930555555555555,1.1853660162973256,11.930555555555555,1.1853660162973256,0.04341361156640213,0.0018140723658374872,0.060398166558569506,0.037309517953257355,0.0,0.0,14836.902777777777,1880.7733247762246,86.61111111111111,6.479713713954867,14923.513888888889,1887.1817784237992
act_only,方向1 推理策略：Act-only,方向1：推理策略,reasoning,pick_clean_then_place_in_recep,"0,1,2",3,"16,16,16",0.5161290322580645,0.0,7.193548387096774,0.0,9.125,0.0,11.064516129032258,0.0,11.064516129032258,0.0,0.02242152466367713,0.0,0.3498542274052478,0.0,0.0,0.0,16950.25806451613,0.0,66.43010752688173,0.018624202231922883,17016.68817204301,0.018624202233481765
act_only,方向1 推理策略：Act-only,方向1：推理策略,reasoning,pick_heat_then_place_in_recep,"0,1,2",3,"5,5,5",0.21739130434782608,0.0,4.231884057971015,0.10941789036624276,7.866666666666666,0.23094010767585052,10.492753623188406,0.10941789036624194,10.492753623188406,0.10941789036624194,0.2705751492132393,0.002865115128198201,0.5967282560404197,0.006210310435914894,0.1850135648399349,0.004761029252782068,13833.72463768116,172.25236647655643,42.55072463768116,0.7890236283371694,13876.275362318842,173.03963472535816
act_only,方向1 推理策略：Act-only,方向1：推理策略,reasoning,pick_cool_then_place_in_recep,"0,1,2",3,"17,17,17",0.8095238095238095,0.0,9.380952380952381,0.0,7.705882352941177,0.0,10.952380952380953,0.0,10.952380952380953,0.0,0.19796954314720813,0.0,0.14347826086956522,0.0,0.18274111675126903,0.0,17866.285714285714,0.16495721976816446,79.07936507936508,0.0549857399228172,17945.365079365078,0.2199429596901858
act_only,方向1 推理策略：Act-only,方向1：推理策略,reasoning,look_at_obj_in_light,"0,1,2",3,"1,1,1",0.05555555555555555,0.0,5.388888888888889,0.0555555555555558,5.0,0.0,13.444444444444445,0.05555555555555536,13.444444444444445,0.05555555555555536,0.3298494225869042,0.0069091359874242165,0.5991803745621312,0.0024759730999671485,0.11341009771606236,0.001169238397871791,16480.37037037037,72.06115229984904,60.5,0.4746668747398622,16540.870370370372,72.53394976362931
act_only,方向1 推理策略：Act-only,方向1：推理策略,reasoning,pick_two_obj_and_place,"0,1,2",3,"8,8,8",0.47058823529411764,0.0,19.666666666666668,0.18909119139201805,15.75,0.4330127018922193,23.235294117647058,0.15563243006262242,23.235294117647058,0.15563243006262242,0.11167578428931534,0.002331852093572434,0.15359746295229304,0.0024705761025177846,0.0,0.0,32694.19607843137,263.98556459782264,159.27450980392157,2.004608301040322,32853.470588235294,263.41271050456737
cot_then_act,方向1 推理策略：CoT-then-Act,方向1：推理策略,reasoning,pick_and_place_simple,"0,1,2",3,"19,16,17",0.7222222222222222,0.06364688465216443,11.75,1.2644992421244599,11.359713622291022,1.7907745867779057,13.875,0.8670271686118671,14.875,0.8670271686118671,0.21723516308974208,0.015601115356686249,0.15467487719725573,0.037621904736051946,0.1594763828403697,0.01520209804692664,18657.916666666668,1349.3634308083128,213.0,35.88262114171706,18870.916666666668,1314.0622177632156
cot_then_act,方向1 推理策略：CoT-then-Act,方向1：推理策略,reasoning,pick_clean_then_place_in_recep,"0,1,2",3,"18,21,21",0.6451612903225806,0.05587260669577019,17.408602150537636,1.9527011983839113,12.878306878306878,0.31198990450382147,19.64516129032258,1.7102859537821378,20.64516129032258,1.7102859537821378,0.2556338074818919,0.061355355510876695,0.11468989852942454,0.03992284765174511,0.16751971754110986,0.060941716679154156,35481.88172043011,3587.8191205759204,225.78494623655914,10.852158195292969,35707.666666666664,3597.5072220394127
cot_then_act,方向1 推理策略：CoT-then-Act,方向1：推理策略,reasoning,pick_heat_then_place_in_recep,"0,1,2",3,"8,8,7",0.3333333333333333,0.025102185616940234,7.3768115942028984,0.3697782847006689,10.488095238095237,1.5563740456805455,12.81159420289855,0.13976305450714407,13.81159420289855,0.13976305450714407,0.1337022683482221,0.03163286644130245,0.42437325641792994,0.022709280621525003,0.007575757575757576,0.01312159702703695,19336.391304347828,346.58699947366466,124.44927536231884,1.973517166457184,19460.840579710144,348.5259327107487
cot_then_act,方向1 推理策略：CoT-then-Act,方向1：推理策略,reasoning,pick_cool_then_place_in_recep,"0,1,2",3,"14,12,13",0.6190476190476191,0.047619047619047616,17.428571428571427,1.2316683006073879,17.09004884004884,1.791837518341922,20.936507936507937,1.3471506281091254,21.936507936507937,1.3471506281091254,0.37757495474169894,0.03245349893060262,0.16777152479116386,0.006690554405188635,0.29562501290493076,0.05064151452518617,38053.71428571429,2864.2972722721333,206.3968253968254,1.2868895275371064,38260.11111111111,2865.394347589133
cot_then_act,方向1 推理策略：CoT-then-Act,方向1：推理策略,reasoning,look_at_obj_in_light,"0,1,2",3,"1,2,2",0.09259259259259259,0.032075014954979206,7.314814814814814,2.020216750788045,7.5,1.5,15.611111111111112,2.6358169253947694,16.61111111111111,2.6358169253947694,0.41501405864463187,0.23152827352904656,0.5372788217872699,0.06361611771023096,0.09233309742863884,0.14111870880296998,21913.38888888889,4465.854176034516,196.14814814814815,22.870902677865857,22109.537037037036,4484.546584542303
cot_then_act,方向1 推理策略：CoT-then-Act,方向1：推理策略,reasoning,pick_two_obj_and_place,"0,1,2",3,"7,5,6",0.35294117647058826,0.05882352941176469,22.294117647058822,4.453916281455517,19.33809523809524,2.9007505479610955,29.372549019607845,5.990861937896657,30.372549019607845,5.990861937896657,0.28213391875655086,0.04063050280915684,0.2406328375111902,0.023378480814875723,0.2064984533578751,0.044007322564144434,49337.29411764706,14216.583045074813,520.0,109.3137290072979,49857.294117647056,14325.005700947553
random_nonmatching_2shot,方向2 Few-shot：随机非匹配 2-shot,方向2：Few-shot 数量与匹配,fewshot,pick_and_place_simple,"0,1,2",3,"17,17,15",0.6805555555555556,0.048112522432468836,21.180555555555554,2.5417805074687596,12.190849673202614,3.0747957383378033,30.333333333333332,0.7949493345141214,30.333333333333332,0.7949493345141214,0.39022964314742886,0.04371619916700718,0.011764011003736499,0.009288013531171419,0.2971137591602815,0.038491464638308895,78392.625,3790.8759255594355,476.9305555555556,67.90120393167099,78869.55555555556,3812.3326942646595
