experiment,display_name_zh,direction_zh,task_type,baseline_failure_variant_success,baseline_success_variant_failure,both_success,both_failure,net_successes
baseline,公共基线：ReAct + 任务匹配 2-shot,公共基线,overall,0,0,91,43,0
baseline,公共基线：ReAct + 任务匹配 2-shot,公共基线,pick_and_place_simple,0,0,22,2,0
baseline,公共基线：ReAct + 任务匹配 2-shot,公共基线,pick_clean_then_place_in_recep,0,0,21,10,0
baseline,公共基线：ReAct + 任务匹配 2-shot,公共基线,pick_heat_then_place_in_recep,0,0,20,3,0
baseline,公共基线：ReAct + 任务匹配 2-shot,公共基线,pick_cool_then_place_in_recep,0,0,18,3,0
baseline,公共基线：ReAct + 任务匹配 2-shot,公共基线,look_at_obj_in_light,0,0,2,16,0
baseline,公共基线：ReAct + 任务匹配 2-shot,公共基线,pick_two_obj_and_place,0,0,8,9,0
act_only,方向1 推理策略：Act-only,方向1：推理策略,overall,16,37,54,27,-21
act_only,方向1 推理策略：Act-only,方向1：推理策略,pick_and_place_simple,2,1,21,0,1
act_only,方向1 推理策略：Act-only,方向1：推理策略,pick_clean_then_place_in_recep,8,13,8,2,-5
act_only,方向1 推理策略：Act-only,方向1：推理策略,pick_heat_then_place_in_recep,0,15,5,3,-15
act_only,方向1 推理策略：Act-only,方向1：推理策略,pick_cool_then_place_in_recep,2,3,15,1,-1
act_only,方向1 推理策略：Act-only,方向1：推理策略,look_at_obj_in_light,1,2,0,15,-1
act_only,方向1 推理策略：Act-only,方向1：推理策略,pick_two_obj_and_place,3,3,5,6,0
cot_then_act,方向1 推理策略：CoT-then-Act,方向1：推理策略,overall,16,40,51,27,-24
cot_then_act,方向1 推理策略：CoT-then-Act,方向1：推理策略,pick_and_place_simple,2,5,17,0,-3
cot_then_act,方向1 推理策略：CoT-then-Act,方向1：推理策略,pick_clean_then_place_in_recep,7,10,11,3,-3
cot_then_act,方向1 推理策略：CoT-then-Act,方向1：推理策略,pick_heat_then_place_in_recep,1,13,7,2,-12
cot_then_act,方向1 推理策略：CoT-then-Act,方向1：推理策略,pick_cool_then_place_in_recep,1,5,13,2,-4
cot_then_act,方向1 推理策略：CoT-then-Act,方向1：推理策略,look_at_obj_in_light,1,2,0,15,-1
cot_then_act,方向1 推理策略：CoT-then-Act,方向1：推理策略,pick_two_obj_and_place,4,5,3,5,-1
random_nonmatching_2shot,方向2 Few-shot：随机非匹配 2-shot,方向2：Few-shot 数量与匹配,overall,9,49,42,34,-40
random_nonmatching_2shot,方向2 Few-shot：随机非匹配 2-shot,方向2：Few-shot 数量与匹配,pick_and_place_simple,1,6,16,1,-5
random_nonmatching_2shot,方向2 Few-shot：随机非匹配 2-shot,方向2：Few-shot 数量与匹配,pick_clean_then_place_in_recep,3,15,6,7,-12
random_nonmatching_2shot,方向2 Few-shot：随机非匹配 2-shot,方向2：Few-shot 数量与匹配,pick_heat_then_place_in_recep,1,8,12,2,-7
random_nonmatching_2shot,方向2 Few-shot：随机非匹配 2-shot,方向2：Few-shot 数量与匹配,pick_cool_then_place_in_recep,1,12,6,2,-11
random_nonmatching_2shot,方向2 Few-shot：随机非匹配 2-shot,方向2：Few-shot 数量与匹配,look_at_obj_in_light,2,1,1,14,1
random_nonmatching_2shot,方向2 Few-shot：随机非匹配 2-shot,方向2：Few-shot 数量与匹配,pick_two_obj_and_place,1,7,1,8,-6
mixed_6shot,方向2 Few-shot：六类混合 6-shot,方向2：Few-shot 数量与匹配,overall,9,27,64,34,-18
mixed_6shot,方向2 Few-shot：六类混合 6-shot,方向2：Few-shot 数量与匹配,pick_and_place_simple,2,4,18,0,-2
mixed_6shot,方向2 Few-shot：六类混合 6-shot,方向2：Few-shot 数量与匹配,pick_clean_then_place_in_recep,3,7,14,7,-4
mixed_6shot,方向2 Few-shot：六类混合 6-shot,方向2：Few-shot 数量与匹配,pick_heat_then_place_in_recep,1,4,16,2,-3
mixed_6shot,方向2 Few-shot：六类混合 6-shot,方向2：Few-shot 数量与匹配,pick_cool_then_place_in_recep,0,7,11,3,-7
mixed_6shot,方向2 Few-shot：六类混合 6-shot,方向2：Few-shot 数量与匹配,look_at_obj_in_light,0,2,0,16,-2
mixed_6shot,方向2 Few-shot：六类混合 6-shot,方向2：Few-shot 数量与匹配,pick_two_obj_and_place,3,3,5,6,0
zero_shot,方向2 Few-shot：0-shot,方向2：Few-shot 数量与匹配,overall,2,85,6,41,-83
zero_shot,方向2 Few-shot：0-shot,方向2：Few-shot 数量与匹配,pick_and_place_simple,0,19,3,2,-19
zero_shot,方向2 Few-shot：0-shot,方向2：Few-shot 数量与匹配,pick_clean_then_place_in_recep,2,18,3,8,-16
zero_shot,方向2 Few-shot：0-shot,方向2：Few-shot 数量与匹配,pick_heat_then_place_in_recep,0,20,0,3,-20
zero_shot,方向2 Few-shot：0-shot,方向2：Few-shot 数量与匹配,pick_cool_then_place_in_recep,0,18,0,3,-18
zero_shot,方向2 Few-shot：0-shot,方向2：Few-shot 数量与匹配,look_at_obj_in_light,0,2,0,16,-2
zero_shot,方向2 Few-shot：0-shot,方向2：Few-shot 数量与匹配,pick_two_obj_and_place,0,8,0,9,-8
admissible_actions,方向3 动作空间：注入合法动作列表,方向3：Admissible actions,overall,18,41,50,25,-23
admissible_actions,方向3 动作空间：注入合法动作列表,方向3：Admissible actions,pick_and_place_simple,2,10,12,0,-8
admissible_actions,方向3 动作空间：注入合法动作列表,方向3：Admissible actions,pick_clean_then_place_in_recep,8,11,10,2,-3
admissible_actions,方向3 动作空间：注入合法动作列表,方向3：Admissible actions,pick_heat_then_place_in_recep,0,8,12,3,-8
admissible_actions,方向3 动作空间：注入合法动作列表,方向3：Admissible actions,pick_cool_then_place_in_recep,2,2,16,1,0
admissible_actions,方向3 动作空间：注入合法动作列表,方向3：Admissible actions,look_at_obj_in_light,6,2,0,10,4
admissible_actions,方向3 动作空间：注入合法动作列表,方向3：Admissible actions,pick_two_obj_and_place,0,8,0,9,-8
explicit_failure_feedback,方向4 失败反馈：显式无效动作恢复提示,方向4：失败反馈,overall,7,9,82,36,-2
explicit_failure_feedback,方向4 失败反馈：显式无效动作恢复提示,方向4：失败反馈,pick_and_place_simple,2,3,19,0,-1
explicit_failure_feedback,方向4 失败反馈：显式无效动作恢复提示,方向4：失败反馈,pick_clean_then_place_in_recep,2,2,19,8,0
explicit_failure_feedback,方向4 失败反馈：显式无效动作恢复提示,方向4：失败反馈,pick_heat_then_place_in_recep,1,0,20,2,1
explicit_failure_feedback,方向4 失败反馈：显式无效动作恢复提示,方向4：失败反馈,pick_cool_then_place_in_recep,0,2,16,3,-2
explicit_failure_feedback,方向4 失败反馈：显式无效动作恢复提示,方向4：失败反馈,look_at_obj_in_light,0,1,1,16,-1
explicit_failure_feedback,方向4 失败反馈：显式无效动作恢复提示,方向4：失败反馈,pick_two_obj_and_place,2,1,7,7,1
guided_json,方向5 输出结构：Guided JSON,方向5：输出结构,overall,14,52,39,29,-38
guided_json,方向5 输出结构：Guided JSON,方向5：输出结构,pick_and_place_simple,1,18,4,1,-17
guided_json,方向5 输出结构：Guided JSON,方向5：输出结构,pick_clean_then_place_in_recep,4,13,8,6,-9
guided_json,方向5 输出结构：Guided JSON,方向5：输出结构,pick_heat_then_place_in_recep,1,9,11,2,-8
