experiment,display_name_zh,direction_zh,seed,avg_llm_calls,avg_prompt_tokens,avg_completion_tokens,avg_total_tokens
baseline,公共基线：ReAct + 任务匹配 2-shot,公共基线,0,24.746268656716417,51071.97014925373,368.06716417910445,51440.03731343283
act_only,方向1 推理策略：Act-only,方向1：推理策略,0,12.843283582089553,17917.328358208953,78.27611940298507,17995.60447761194
cot_then_act,方向1 推理策略：CoT-then-Act,方向1：推理策略,0,19.425373134328357,29816.544776119405,220.1417910447761,30036.68656716418
random_nonmatching_2shot,方向2 Few-shot：随机非匹配 2-shot,方向2：Few-shot 数量与匹配,0,31.78358208955224,75009.0671641791,557.2089552238806,75566.27611940299
mixed_6shot,方向2 Few-shot：六类混合 6-shot,方向2：Few-shot 数量与匹配,0,21.388059701492537,105279.79850746269,276.4776119402985,105556.27611940299
zero_shot,方向2 Few-shot：0-shot,方向2：Few-shot 数量与匹配,0,26.865671641791046,15897.171641791045,299.3134328358209,16196.485074626866
admissible_actions,方向3 动作空间：注入合法动作列表,方向3：Admissible actions,0,37.90298507462686,96808.17164179105,787.6940298507462,97595.86567164179
explicit_failure_feedback,方向4 失败反馈：显式无效动作恢复提示,方向4：失败反馈,0,27.97761194029851,66145.34328358209,416.93283582089555,66562.27611940299
guided_json,方向5 输出结构：Guided JSON,方向5：输出结构,0,31.850746268656717,80497.1119402985,817.5895522388059,81314.70149253731
recent_10,方向6 轨迹压缩：最近 10 turns,方向6：轨迹压缩,0,23.865671641791046,42515.99253731343,303.0970149253731,42819.08955223881
summary_10,方向6 轨迹压缩：摘要 + 最近 10 turns,方向6：轨迹压缩,0,33.798507462686565,40238.90298507463,298.9925373134328,40537.89552238806
